username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SpiderRuben;2015-10-13 16:59;0;2;"i have better eyebrows than some girls #tragic";;;#tragic;"654083954564272128";https://twitter.com/SpiderRuben/status/654083954564272128
312_8EAR;2015-10-13 16:58;0;0;"#CUBS #SAD";;;#CUBS #SAD;"654083845906669568";https://twitter.com/312_8EAR/status/654083845906669568
hollyrtate;2015-10-13 16:57;0;1;"#sad #NLDS";;;#sad #NLDS;"654083593577193472";https://twitter.com/hollyrtate/status/654083593577193472
SimplyAkimb0;2015-10-13 16:57;0;0;"The #Cubs are celebrating like they finally won the World Series smh. #sad #NLDS";;;#Cubs #sad #NLDS;"654083542335401984";https://twitter.com/SimplyAkimb0/status/654083542335401984
elise_moser;2015-10-13 16:56;0;0;"Devastated. Really needed a good postseason run from my team. I'll miss you, baseball. #sad";;;#sad;"654083404162465792";https://twitter.com/elise_moser/status/654083404162465792
lecterfun;2015-10-13 16:56;0;0;"@VaunWilmott First Hannibal and now Dominion...I am throwing my tv out the window, there is no use for it anymore. #dominion #hannibal #sad";;@VaunWilmott;#dominion #hannibal #sad;"654083377478402048";https://twitter.com/lecterfun/status/654083377478402048
robynmcintyre;2015-10-13 16:56;0;0;"The NYC Housing Market Is Now So Bleak That People Would Happily Live in a Bar Bathroom http://buff.ly/1ZAgZrm #sad #LES";;;#sad #LES;"654083320112922626";https://twitter.com/robynmcintyre/status/654083320112922626
EmiSanthuff;2015-10-13 16:56;0;4;"#depression ⚾️ 💔";;;#depression;"654083198553423872";https://twitter.com/EmiSanthuff/status/654083198553423872
Enadeau58;2015-10-14 16:59;0;0;"I can't believe no more Action Jackson. #jeopardy #sad #suckittrebek";;;#jeopardy #sad #suckittrebek;"654446340521467904";https://twitter.com/Enadeau58/status/654446340521467904
TotalKhadijah;2015-10-14 16:58;0;0;"I swear songs fuck with my emotions.. every 4 mins #happy #sad #love #hate #shankabeech #forgiveabeech";;;#happy #sad #love #hate #shankabeech #forgiveabeech;"654446296389033984";https://twitter.com/TotalKhadijah/status/654446296389033984
Sarahbelssss;2015-10-14 16:58;0;0;"skyflakes for breakfast 😢 😢 😢 😁 #dietlife #sad";;;#dietlife #sad;"654446182253506560";https://twitter.com/Sarahbelssss/status/654446182253506560
