username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
thy_fatmaa;2015-09-04 16:52;0;0;"Little surprise for youu sissyy 🍰 😘 #surprise #bday #bdaycake #simplecake … https://instagram.com/p/7OlHC9LJ3g07X7RxDn_XkfmtlEXaAtmbVhx3k0/";;;#surprise #bday #bdaycake #simplecake;"639949300362035200";https://twitter.com/thy_fatmaa/status/639949300362035200
Destiny_Skyy;2015-09-04 16:49;0;3;"Was going to go home for the weekend but then something broke on my car #shocker";;;#shocker;"639948477913518080";https://twitter.com/Destiny_Skyy/status/639948477913518080
MuhammedAmine1;2015-09-04 16:46;0;0;"Ce mois Inshaalah <3 New Cover 2015 Are You Ready .. <3 #Soon #Cover2015 #MedAmine #Guitare #Surprise ... http://fb.me/7sKxNOanv";;;#Soon #Cover2015 #MedAmine #Guitare #Surprise;"639947768451190784";https://twitter.com/MuhammedAmine1/status/639947768451190784
PrinceEdmund;2015-09-04 16:45;0;0;"Photo: A positive surprise in this morning #SpreadBodyBalanceLove #LESMILLS #BodyBalance #surprise http://tmblr.co/ZBKFNx1tZBzyV";;;#SpreadBodyBalanceLove #LESMILLS #BodyBalance #surprise;"639947513412382720";https://twitter.com/PrinceEdmund/status/639947513412382720
PrinceEdmund;2015-09-04 16:45;0;0;"A positive surprise in this morning #SpreadBodyBalanceLove #LESMILLS #BodyBalance #surprise https://instagram.com/p/7OkTCHlpix/";;;#SpreadBodyBalanceLove #LESMILLS #BodyBalance #surprise;"639947506512736256";https://twitter.com/PrinceEdmund/status/639947506512736256
JayCUpchurch;2015-09-05 16:55;0;0;"Sooners lead 3-0 at end of what was a really sluggish first quarter for the hosts #wakeupCALL";;;#wakeupCALL;"640312307625521152";https://twitter.com/JayCUpchurch/status/640312307625521152
aacmpbll;2015-09-05 16:52;0;1;"Apparently I have another check from back when I had the landscaping job 👀 🙆🏽 #moremoney #surprise #happyhappy";;;#moremoney #surprise #happyhappy;"640311534346895360";https://twitter.com/aacmpbll/status/640311534346895360
Miss_JeaneeL;2015-09-05 16:51;0;1;"@trinikipa kimz they now send me the whole video ... I swear granny mad and mommy Crack but they get it back normal tho hahaha #shock";;@trinikipa;#shock;"640311358181871616";https://twitter.com/Miss_JeaneeL/status/640311358181871616
toninjaa;2015-09-05 16:51;0;0;"Happy birthday to me! #birthday #surprise #bestgiftever Thanks @mixedmediamike !!";;@mixedmediamike;#birthday #surprise #bestgiftever;"640311289194090496";https://twitter.com/toninjaa/status/640311289194090496
BritneyZacharuk;2015-09-05 16:49;0;7;"just went to have a sip of my moms water and it was straight vodka #surprise";Ottawa, Ontario;;#surprise;"640310777472241664";https://twitter.com/BritneyZacharuk/status/640310777472241664
UNLDigitalarts;2015-09-05 16:49;0;1;"Passed out because of the #football game in #shock ! #UNL #GBR #huskers #Caturday";;;#football #shock #UNL #GBR #huskers #Caturday;"640310714704400384";https://twitter.com/UNLDigitalarts/status/640310714704400384
robteed;2015-09-05 16:47;0;0;"@WCCO really so a pro racism slavery sedition and hatred group didn't like #BlackLivesMatter #Shocker !!!";;@WCCO;#BlackLivesMatter #Shocker;"640310350332588032";https://twitter.com/robteed/status/640310350332588032
CourtBoutilier_;2015-09-05 16:44;0;2;"@haileesladee huh? Is this legit? I hope to god not. #shocked";;@haileesladee;#shocked;"640309608867827712";https://twitter.com/CourtBoutilier_/status/640309608867827712
jcwinx;2015-09-05 16:43;0;2;"#shocked that google have changed the font of their logo, Can't people keep things the same? it's just not right, NOT RIGHT!";;;#shocked;"640309254537220096";https://twitter.com/jcwinx/status/640309254537220096
