username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HeyWeddingDay;2016-06-22 16:58;4;7;"Grow old along with me; the best is yet to be. —Robert Browning #wedding #happy #love";;;#wedding #happy #love;"745767831648755714";https://twitter.com/HeyWeddingDay/status/745767831648755714
HauteDerriere;2016-06-22 16:58;7;11;"We can do no great things, only small things with great love. ~ Mother Teresa #love #women #happy";;;#love #women #happy;"745767826368139264";https://twitter.com/HauteDerriere/status/745767826368139264
THEREALTYMULAAA;2016-06-22 16:57;0;0;"Stop looking for reasons to be unhappy and think of all the reasons you have to be #happy instead.";;;#happy;"745767798174027776";https://twitter.com/THEREALTYMULAAA/status/745767798174027776
IznhaenyZ;2016-06-22 16:56;0;0;"Morning 😘 😘 #likeforlike #follow4follow #hijab #happy #party #instagood @Bottom's Up Social House https://www.instagram.com/p/BG-dpbzJDkJ/";Mandonga, Indonesia;@Bottom;#likeforlike #follow4follow #hijab #happy #party #instagood;"745767475682414592";https://twitter.com/IznhaenyZ/status/745767475682414592
pinputlistings;2016-06-22 16:56;0;0;"$320,000 15167 W Calavar Road, #Surprise , #AZ - OMG you are going to... #ARIZONA #realEstate http://tinyurl.com/zybjrxn";;;#Surprise #AZ #ARIZONA #realEstate;"745767467176202240";https://twitter.com/pinputlistings/status/745767467176202240
kickinbodywraps;2016-06-22 16:55;0;1;"#yesterday #sunshine #happy #lovingme https://www.instagram.com/p/BG-dkAgjw0p/";;;#yesterday #sunshine #happy #lovingme;"745767288813551616";https://twitter.com/kickinbodywraps/status/745767288813551616
Shaniaastillo;2016-06-23 16:59;0;1;"#happy 💓";;;#happy;"746130673082183680";https://twitter.com/Shaniaastillo/status/746130673082183680
ando_leny;2016-06-23 16:59;0;1;"U & me 😄 ☺ 😊 #happy couple";;;#happy;"746130657236029440";https://twitter.com/ando_leny/status/746130657236029440
chevluv3;2016-06-23 16:59;0;0;"Hey AT&T i was pleasantly #surprise to see this update. Is this something new? Honestly nothing happen when selected";;;#surprise;"746130633441816576";https://twitter.com/chevluv3/status/746130633441816576
roly_batencila;2016-06-23 16:59;0;0;"#HAPPY FIESTA, SAN JUAN 2016 #atm";;;#HAPPY #atm;"746130539715801088";https://twitter.com/roly_batencila/status/746130539715801088
aboutagirlstyle;2016-06-23 16:59;0;0;"I love her story ! I'm so #happy for her !!! I can't wait to see what else she'll do in this company!! "My... http://fb.me/4E7HYGiJt";;;#happy;"746130516940886016";https://twitter.com/aboutagirlstyle/status/746130516940886016
beautifulglowme;2016-06-23 16:59;0;0;"Selfie #skincaretherapist Very #happy and #please with results 👌🏼 #microdermabrasion … https://www.instagram.com/p/BHBCu3GA2ix/";Arizona, USA;;#skincaretherapist #happy #please #microdermabrasion;"746130499387727872";https://twitter.com/beautifulglowme/status/746130499387727872
ShawnLBird;2016-06-23 16:58;0;1;"How exciting to come across a bit of writing, to thoroughly enjoy it, and then to appreciate that it's your own! #surprise #cleaningmydesk";;;#surprise #cleaningmydesk;"746130409759531008";https://twitter.com/ShawnLBird/status/746130409759531008
imandy0517;2016-06-23 16:57;0;1;"Shooting #street #streetphotography BUT #notreally #leadinglines #kids #asian #life #happy @… https://www.instagram.com/p/BHBCiwMBNn2/";Grand Ledge, MI;@;#street #streetphotography #notreally #leadinglines #kids #asian #life #happy;"746130088714895360";https://twitter.com/imandy0517/status/746130088714895360
Berti_and_Ernie;2016-06-23 16:57;7;37;"#Happy Berti is here to make you #smile !";;;#Happy #smile;"746130058713137153";https://twitter.com/Berti_and_Ernie/status/746130058713137153
tweetypie54;2016-06-23 16:56;0;1;"@kevinthewhippet @SassyCassyCat / #happy Thursday friends gnite hugs";Mayflower, AR;@kevinthewhippet @SassyCassyCat;#happy;"746129846854516736";https://twitter.com/tweetypie54/status/746129846854516736
murphyeagle;2016-06-23 16:56;0;0;"Gov & Farc sign historic ceasefire deal to end 50-year conflict http://gu.com/p/4mtt8/stw #Happy 2 b in #Colombia today! #UltimoDiaDeLaGuerra";;;#Happy #Colombia #UltimoDiaDeLaGuerra;"746129836205301760";https://twitter.com/murphyeagle/status/746129836205301760
FearlessAol;2016-06-23 16:55;0;1;"Summer Time 😀 😀 😀 #snowcone #beach #popcorn #youtube #movies #Happy #Lions";;;#snowcone #beach #popcorn #youtube #movies #Happy #Lions;"746129632286498817";https://twitter.com/FearlessAol/status/746129632286498817
Lover_18_heart;2016-06-23 16:55;0;0;""Let's dance in the sun with wild flowers in our hair" #happy !";;;#happy;"746129545368076288";https://twitter.com/Lover_18_heart/status/746129545368076288
Don_Sigarillo;2016-06-23 16:54;1;2;"a year ago Chips would come and chill with me during that winter. Little dog deserved better so I reached out and got lil dude saved. #happy";;;#happy;"746129361879764992";https://twitter.com/Don_Sigarillo/status/746129361879764992
HeyWeddingDay;2016-06-24 16:59;3;10;"A happy marriage is the union of two good forgivers. —Robert Quillen #wedding #happy #love";;;#wedding #happy #love;"746492858664951808";https://twitter.com/HeyWeddingDay/status/746492858664951808
Came0Newt0n;2016-06-24 16:59;0;0;"RichardSchaefer returns to fight game, founds Ringstar Sports - via @ESPN App #happy boxing needed this 😎 http://espn.go.com/boxing/story/_/id/16428446/richard-schaefer-returns-boxing-promotion-founds-ringstar-sports";;@ESPN;#happy;"746492857205161984";https://twitter.com/Came0Newt0n/status/746492857205161984
HauteDerriere;2016-06-24 16:59;4;5;"Power is not given to you. You have to take it. ~ Beyonce Knowles #love #women #happy";;;#love #women #happy;"746492854051217410";https://twitter.com/HauteDerriere/status/746492854051217410
isabella_aldub;2016-06-24 16:58;2;0;"#ALDUBKSReunion Very excited about return of Kaleyserye favorite Include Lola baba Katie and many of your favorite Are back. #happy";;;#ALDUBKSReunion #happy;"746492751668076544";https://twitter.com/isabella_aldub/status/746492751668076544
Kit4Security;2016-06-24 16:57;0;0;"DAE7B04-06 Happy http://k4s.co.uk/l/19672 #birthday #dae7b0406 #gift #happy #mens #security #sia #closeprotection #doorman #securitykit #k4s";;;#birthday #dae7b0406 #gift #happy #mens #security #sia #closeprotection #doorman #securitykit #k4s;"746492433698000897";https://twitter.com/Kit4Security/status/746492433698000897
3needa__ab;2016-06-24 16:57;0;0;"Careless talk on religious #affairs without #knowledge is a great sin-it causes Allah’s #anger . #beCareful http://bit.ly/gochatnow";;;#affairs #knowledge #anger #beCareful;"746492367239282688";https://twitter.com/3needa__ab/status/746492367239282688
almulu2;2016-06-24 16:57;0;0;"RT @AlvaroGervilla 🔝 #love #instagood #photooftheday #tbt #cute #me #beautiful #followme #happy #follow #fashion … https://www.instagram.com/p/BHCn2i7DWk7/";;@AlvaroGervilla;#love #instagood #photooftheday #tbt #cute #me #beautiful #followme #happy #follow #fashion;"746492359639207936";https://twitter.com/almulu2/status/746492359639207936
Kays_Lane3;2016-06-24 16:56;0;1;"#blessed #happy #faith #godgotme #motivated #gogetit https://www.instagram.com/p/BHDnRizjfcY/";;;#blessed #happy #faith #godgotme #motivated #gogetit;"746492331508047872";https://twitter.com/Kays_Lane3/status/746492331508047872
chadwarner;2016-06-24 16:56;0;0;"BIG FUN // Big love for our brilliant team. Big love for #McCannes London. And big love for our 17 #CannesLions . #Happy #Proud and #SunBurn .";Cannes, France;;#McCannes #CannesLions #Happy #Proud #SunBurn;"746492274708725760";https://twitter.com/chadwarner/status/746492274708725760
robbiNadlynn;2016-06-24 16:56;0;0;"I so LOVE this change #HAPPY #BLESSED";;;#HAPPY #BLESSED;"746492157620518912";https://twitter.com/robbiNadlynn/status/746492157620518912
fabriciotplk;2016-06-24 16:55;1;0;"@Arclegger @The1Wynn @H1Z1KotK We Brazilians are very happy to know the BRA server #Happy #Love #H1Z1 #BrazilNow";;@Arclegger @The1Wynn @H1Z1KotK;#Happy #Love #H1Z1 #BrazilNow;"746491962958700544";https://twitter.com/fabriciotplk/status/746491962958700544
Charlotte_Brow;2016-06-24 16:55;1;0;"Genuinely just want to crawl into a whole and die 99% of the time #happy 🙃";;;#happy;"746491906612469760";https://twitter.com/Charlotte_Brow/status/746491906612469760
staxcookiebar;2016-06-24 16:55;0;0;"Start the weekend off right. PC: @bdkien #staxcookiebar #TGIF #delicious #icecream #cookies #happy #love #ucirvine";;@bdkien;#staxcookiebar #TGIF #delicious #icecream #cookies #happy #love #ucirvine;"746491894977396736";https://twitter.com/staxcookiebar/status/746491894977396736
