username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OfficulLeft;2015-12-21 15:59;0;7;"I THOUGHT HE HATED THE BED I MADE FOR HIM TODAY, BUT HE JUST JUMPED UP ON IT HIMSELF TO BITE A BONE #happy";;;#happy;"679088807015284736";https://twitter.com/OfficulLeft/status/679088807015284736
wyattmichelle;2015-12-21 15:59;0;0;"What it's like to be a daughter of the King! #Jesus #God #holyspirit #joy #peace https://www.instagram.com/p/_krsm2w4eN/";;;#Jesus #God #holyspirit #joy #peace;"679088803101990913";https://twitter.com/wyattmichelle/status/679088803101990913
preppygator;2015-12-21 15:59;0;3;"Progress is progress. Keep going! #CrossFit #PR #Happy";;;#CrossFit #PR #Happy;"679088760403976192";https://twitter.com/preppygator/status/679088760403976192
jmrogerss;2015-12-22 15:59;0;0;"tucked up on the sofa with baileys hot chocolate watching it's a wonderful life ❤️ #happy #love";;;#happy #love;"679451333280305152";https://twitter.com/jmrogerss/status/679451333280305152
iamjrobe;2015-12-22 15:58;0;0;"#happiness 😍 😍 😍 https://www.instagram.com/p/_nQZr0Eu7G/";;;#happiness;"679450988567203841";https://twitter.com/iamjrobe/status/679450988567203841
Jordanwynn1998;2015-12-22 15:58;0;0;"Just had a great night with the squad #Christmas #happy";;;#Christmas #happy;"679450912876851200";https://twitter.com/Jordanwynn1998/status/679450912876851200
SoRealisMe;2015-12-22 15:58;0;0;"Very much in the Christmas spirit, can't wait to see the looks on everyone's face. #SoSpeacial #joyful #surprise #SoHappy #blessed";;;#SoSpeacial #joyful #surprise #SoHappy #blessed;"679450897366265857";https://twitter.com/SoRealisMe/status/679450897366265857
HRstories22;2015-12-22 15:58;0;1;"Just like it says 😊 😊 #happiness #selflove #innerpeace https://www.instagram.com/p/_nQVyShwRq/";;;#happiness #selflove #innerpeace;"679450854995431424";https://twitter.com/HRstories22/status/679450854995431424
SupaGSwift;2015-12-22 15:57;0;2;"In the works! #supagswift #electronicmusic #music #happyvibes #happy #festivalmusic #vancity … https://www.instagram.com/p/_nQOsqmoj2/";;;#supagswift #electronicmusic #music #happyvibes #happy #festivalmusic #vancity;"679450832799141889";https://twitter.com/SupaGSwift/status/679450832799141889
feliciaday;2015-12-22 11:08;105;928;"GO TO HELL GREG #happy holidays https://twitter.com/gameovergreggy/status/679377678344957952";;;#happy;"679377955806568448";https://twitter.com/feliciaday/status/679377955806568448
JoliDPD;2015-12-23 15:59;0;0;"Tis the season to be #jolly #HappyHolidays #MerryChristmas #HappyFestivus";;;#jolly #HappyHolidays #MerryChristmas #HappyFestivus;"679813619979161600";https://twitter.com/JoliDPD/status/679813619979161600
NakeiaTay;2015-12-23 15:59;0;1;"Ready for my family's annual Christmas party! 😀 😀 #happy #christmasparty #nakeiatay #selfie #… http://ift.tt/1QMT4lZ";;;#happy #christmasparty #nakeiatay #selfie #;"679813540518182913";https://twitter.com/NakeiaTay/status/679813540518182913
RHoZzaNa;2015-12-23 15:58;0;0;"Christmas with the girls #sisters #mom #family #florida #christmas #happiness … https://www.instagram.com/p/_p1PB4swGn/";Town 'n' Country, FL;;#sisters #mom #family #florida #christmas #happiness;"679813467243679745";https://twitter.com/RHoZzaNa/status/679813467243679745
zhanna916;2015-12-23 15:58;0;1;"@WWTrain1 Thank you! Wishing you and your family a very Merry Christmas! Peace,hope and joy! 🎄 🎁 🎉 ✌🏼 #Peace #Hope #Joy #MerryChristmas";Rockford, IL;@WWTrain1;#Peace #Hope #Joy #MerryChristmas;"679813364059619329";https://twitter.com/zhanna916/status/679813364059619329
Sungjae_Fanpage;2015-12-24 04:29;108;103;"151224 We Got Married official pics #Sungjae #Joy All → http://www.imbc.com/broad/tv/ent/wedding/photo/index.html";;;#Sungjae #Joy;"680002247284097024";https://twitter.com/Sungjae_Fanpage/status/680002247284097024
LaRosaMendes;2015-12-02 14:22;12;38;"#Happiness snapsstudio photography, makeup by @honeybeileen #maternityphotography #road2motherhood https://www.instagram.com/p/-zlhJ_O4O_/";;@honeybeileen;#Happiness #maternityphotography #road2motherhood;"672179084961673216";https://twitter.com/LaRosaMendes/status/672179084961673216
Growtheasy;2015-12-24 15:59;0;1;"AT&T M2X, great to know you here! Many thanks for the follow! Looking forward to inspire and stay inspired! #Happiness";;;#Happiness;"680176105098244096";https://twitter.com/Growtheasy/status/680176105098244096
JL0PVT;2015-12-24 15:59;65;63;"#Happy #Holidays to my family, friends, and Jlovers 🎅 😘";;;#Happy #Holidays;"680176068775571456";https://twitter.com/JL0PVT/status/680176068775571456
janaslindsay;2015-12-24 15:59;0;3;"Almost good enough to eat... #lego #fun #happy #holidays #gingerbreadhouse @Casa Lindsay https://www.instagram.com/p/_saG7puxZn/";Saskatoon, Saskatchewan;@Casa;#lego #fun #happy #holidays #gingerbreadhouse;"680176032830242817";https://twitter.com/janaslindsay/status/680176032830242817
Iszhladia;2015-12-24 15:59;0;0;"Merry Christmas 🎉 #happy #lovelots";;;#happy #lovelots;"680176032024932353";https://twitter.com/Iszhladia/status/680176032024932353
BeachnWineLuvr;2015-12-24 15:59;0;2;"Merry #Christmas #Eve everyone. May your hearts be filled with #love and #joy . #Furbaby #DogsLife https://www.instagram.com/p/_saGZnHr6e/";;;#Christmas #Eve #love #joy #Furbaby #DogsLife;"680176004275507200";https://twitter.com/BeachnWineLuvr/status/680176004275507200
